n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
10000,0.026163879598662208,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9545,,,0.023176932357236342,0.029434300318103124,2.266720484602685e-06,2.861367040171993e-06,0.006257367960866779,3.4613102299579e-08
10000,0.026163879598662208,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.4990797243510663,0.08354358610690979,0.0,0.02889521270118775,0.0,2.8114528898306697e-06,0.02889521270118775,2.8114528898306697e-06
10000,0.026163879598662208,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9507,,,0.02322168307797779,0.02948425168638843,2.266556304552997e-06,2.860470276126012e-06,0.006262568608410637,3.4534707081973354e-08
10000,0.026163879598662208,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.49071268496691955,0.08344881225274,0.0,0.028944753566070996,0.0,2.8106205643319275e-06,0.028944753566070996,2.8106205643319275e-06
10000,0.026163879598662208,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9499,,,0.023132175780061316,0.02938433605849609,2.266883885350846e-06,2.8622650418946343e-06,0.0062521602784347775,3.4691804927592736e-08
10000,0.026163879598662208,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.507447645777093,0.08357886840338917,0.0,0.028845659507376182,0.0,2.81228626874198e-06,0.028845659507376182,2.81228626874198e-06
10000,0.026494983277591973,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9542,,,0.023477243213713812,0.02977166550811313,2.236302109142977e-06,2.8184775057526746e-06,0.00629442229439932,3.365578900474e-08
10000,0.026494983277591973,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.501587584185388,0.08254304415482863,0.0,0.02922962575389187,0.0,2.7696295300125593e-06,0.02922962575389187,2.7696295300125593e-06
10000,0.026494983277591973,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9542,,,0.023521982999237027,0.02982156406640126,2.236134767784812e-06,2.8175999543801102e-06,0.006299581067164231,3.358037358351551e-08
10000,0.026494983277591973,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.4932252849270776,0.08246466378980373,0.0,0.02927911716423058,0.0,2.768814405183325e-06,0.02927911716423058,2.768814405183325e-06
10000,0.026494983277591973,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.954,,,0.023432497520027937,0.029721754122865655,2.236468708516219e-06,2.8193562454676567e-06,0.006289256602837718,3.373149650798807e-08
10000,0.026494983277591973,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5099494383439698,0.08256116907986136,0.0,0.02918012206968288,0.0,2.770445666988786e-06,0.02918012206968288,2.770445666988786e-06
10000,0.02682608695652174,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.945,,,0.023801479234956072,0.030135410992289464,2.3533884061045627e-06,2.96094054031548e-06,0.0063339317573333906,3.486294720747089e-08
10000,0.02682608695652174,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5001317499162746,0.08329244616346153,0.0,0.029590223766995303,0.0,2.9099851075744183e-06,0.029590223766995303,2.9099851075744183e-06
10000,0.02682608695652174,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9443,,,0.023846206553782317,0.030185253243445696,2.3532063347695367e-06,2.9600250422296684e-06,0.006339046689663383,3.4785711913668475e-08
10000,0.02682608695652174,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.49186781170343064,0.08318595985493817,0.0,0.029639662383126382,0.0,2.909134028190958e-06,0.029639662383126382,2.909134028190958e-06
10000,0.02682608695652174,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.945,,,0.02375674595534486,0.030085555980424755,2.3535697258852904e-06,2.961857253323392e-06,0.006328810025079897,3.494047775693634e-08
10000,0.02682608695652174,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5083951722980934,0.08334181347639685,0.0,0.029540772933717107,0.0,2.9108372225502913e-06,0.029540772933717107,2.9108372225502913e-06
10000,0.027157190635451505,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.95,,,0.024135713512373667,0.03051023213153877,2.349735752009568e-06,2.9522812046326024e-06,0.0063745186191650986,3.4367477493114645e-08
10000,0.027157190635451505,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.4940670865010365,0.08353804858015458,0.0,0.029961811682040013,0.0,2.901763149823631e-06,0.029961811682040013,2.901763149823631e-06
10000,0.027157190635451505,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9534,,,0.024180427788622262,0.03056001654484721,2.3495491944970415e-06,2.951373513731732e-06,0.00637958875622495,3.4292057949080024e-08
10000,0.027157190635451505,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.48587287498146187,0.08344259068132544,0.0,0.030011196049748473,0.0,2.900918758657965e-06,0.030011196049748473,2.900918758657965e-06
10000,0.027157190635451505,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9527,,,0.0240909932220475,0.030460435024860136,2.3499215825973936e-06,2.9531900800325976e-06,0.006369441802812633,3.444318216442366e-08
10000,0.027157190635451505,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5022652584309955,0.0835764931045901,0.0,0.029912415154853964,0.0,2.9026085513131783e-06,0.029912415154853964,2.9026085513131783e-06
10000,0.02748829431438127,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9494,,,0.0244159486532157,0.03082424551881636,2.3671774140384743e-06,2.969515524165129e-06,0.006408296865600666,3.41199278146245e-08
10000,0.02748829431438127,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5014540117795808,0.08231128441952529,0.0,0.030273134370947183,0.0,2.9190347022293e-06,0.030273134370947183,2.9190347022293e-06
10000,0.02748829431438127,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9483,,,0.024460651676113183,0.03087398178174699,2.3669841083087464e-06,2.9686082902679005e-06,0.0064133301056337995,3.4045837390208025e-08
10000,0.02748829431438127,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.4932573731256762,0.08222545945142012,0.0,0.030322473544795253,0.0,2.9181900922139897e-06,0.030322473544795253,2.9181900922139897e-06
10000,0.02748829431438127,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9494,,,0.024371239573041405,0.030774496617485686,2.3673700132534894e-06,2.970423920010483e-06,0.006403257044444286,3.4194294956982115e-08
10000,0.02748829431438127,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5096500693394937,0.08234198481177146,0.0,0.030223783084723056,0.0,2.9198803040764006e-06,0.030223783084723056,2.9198803040764006e-06
10000,0.027819397993311037,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9505,,,0.02473538277133187,0.031181936000540908,2.373760913173986e-06,2.973424796803348e-06,0.006446553229209032,3.374840741349142e-08
10000,0.027819397993311037,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5001507531651622,0.0827488693727619,0.0,0.030627777574124708,0.0,2.9231866327197387e-06,0.030627777574124708,2.9231866327197387e-06
10000,0.027819397993311037,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9542,,,0.02478007264370402,0.031231617725686056,2.3735620854721582e-06,2.9725217236198562e-06,0.00645154508198203,3.3675861626095324e-08
10000,0.027819397993311037,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.4920223276697335,0.08264406087967123,0.0,0.030677065526480318,0.0,2.9223452933745163e-06,0.030677065526480318,2.9223452933745163e-06
10000,0.027819397993311037,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9545,,,0.02469068679399484,0.031132241698095663,2.3739590563590007e-06,2.9743290060794695e-06,0.006441554904100832,3.382122095037222e-08
10000,0.027819397993311037,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5082787748238574,0.08279821757562943,0.0,0.030578477561773048,0.0,2.9240289425336465e-06,0.030578477561773048,2.9240289425336465e-06
10000,0.028150501672240803,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9504,,,0.02504877892226195,0.03153254821663688,2.4177504705105695e-06,3.02514624554431e-06,0.006483769294374926,3.4014623554673265e-08
10000,0.028150501672240803,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.4972618065271071,0.0830689250993591,0.0,0.03097542555290429,0.0,2.9742745987500464e-06,0.03097542555290429,2.9742745987500464e-06
10000,0.028150501672240803,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9469,,,0.025093455483960615,0.031582176875398466,2.417544163830943e-06,3.024231533459415e-06,0.006488721391437847,3.394205573702808e-08
10000,0.028150501672240803,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.4892045981944918,0.08303215096582098,0.0,0.031024663624405632,0.0,2.973421954450921e-06,0.031024663624405632,2.973421954450921e-06
10000,0.028150501672240803,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9462,,,0.025004096210751288,0.03148290703857366,2.4179560978631205e-06,3.026062093100088e-06,0.006478810827822369,3.408745687855355e-08
10000,0.028150501672240803,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5053227391310715,0.08305076097263793,0.0,0.030926175471161464,0.0,2.975128213524964e-06,0.030926175471161464,2.975128213524964e-06
10000,0.02848160535117057,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9451,,,0.02533572667912438,0.031853245076608486,2.5497750496570025e-06,3.1857815363276446e-06,0.006517518397484106,3.539057835114369e-08
