n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
1000,0.001525752508361204,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9286,,,0.0005132267389135167,0.006338010541033577,2.6236409119619575e-07,4.117903440740492e-06,0.0058247838021200605,2.373244672677056e-06
1000,0.001525752508361204,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.37958315486069844,0.06715526705496155,0.0,0.005475330368845875,0.0,3.6413333827502865e-06,0.005475330368845875,3.6413333827502865e-06
1000,0.001525752508361204,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.7619,,,0.00024196542279695334,0.004211813842555333,1.384792371080689e-07,7.489200220314588e-06,0.00396984841975838,5.986004109838042e-06
1000,0.001525752508361204,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6192561904992213,0.09314107090964797,0.0,0.003582493292964429,0.0,5.817758914820179e-06,0.003582493292964429,5.817758914820179e-06
1000,0.0015421404682274247,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9833,,,0.00035454154785748306,0.005425219485950397,1.8269521481283652e-07,4.549460312443714e-06,0.005070677938092913,3.040499043205284e-06
1000,0.0015421404682274247,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5036615963707489,0.08526813783423591,0.0,0.004623779376282343,0.0,3.971062728601674e-06,0.004623779376282343,3.971062728601674e-06
1000,0.0015421404682274247,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9329,,,0.0005064214870610825,0.006321549205718623,2.454876241743744e-07,3.971245288582224e-06,0.0058151277186575395,2.308525918506389e-06
1000,0.0015421404682274247,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.3838575372802382,0.06686715104894672,0.0,0.0054596185820809245,0.0,3.5095438693570293e-06,0.0054596185820809245,3.5095438693570293e-06
1000,0.0015421404682274247,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.7681,,,0.00023574380855583018,0.004197425704908371,1.2625265485970673e-07,7.291622893998681e-06,0.00396168189635254,5.8705783363005564e-06
1000,0.0015421404682274247,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6237521322340909,0.09134880463683742,0.0,0.0035680214479472823,0.0,5.651003674048864e-06,0.0035680214479472823,5.651003674048864e-06
1000,0.0015585284280936454,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9792,,,0.000374156348529746,0.005504061976171288,2.0457224483992645e-07,4.799976828687821e-06,0.005129905627641542,3.1640321190741034e-06
1000,0.0015585284280936454,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.4983277737896729,0.08725580972347607,0.0,0.004697922541427505,0.0,4.19461460086527e-06,0.004697922541427505,4.19461460086527e-06
1000,0.0015585284280936454,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9233,,,0.0005283706950202218,0.006396912001174706,2.7119248469725814e-07,4.205603224526675e-06,0.005868541306154485,2.4132070210826314e-06
1000,0.0015585284280936454,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.38060043200917987,0.06828230523573835,0.0,0.005530788204204887,0.0,3.7199967152837217e-06,0.005530788204204887,3.7199967152837217e-06
1000,0.0015585284280936454,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.768,,,0.00025260691746575273,0.004285715165899354,1.4402652824213155e-07,7.571885486988604e-06,0.004033108248433602,6.0219292174907305e-06
1000,0.0015585284280936454,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6163706327628202,0.09411953838797965,0.0,0.0036490593701832834,0.0,5.89770979275652e-06,0.0036490593701832834,5.89770979275652e-06
1000,0.0015749163879598663,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9776,,,0.00037683508858314826,0.005529079629033307,2.0639166768103135e-07,4.755471893863491e-06,0.005152244540450159,3.1228584147558985e-06
1000,0.0015749163879598663,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.4983321053752556,0.08571652068198561,0.0,0.004721091317229995,0.0,4.157114763785878e-06,0.004721091317229995,4.157114763785878e-06
1000,0.0015749163879598663,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9253,,,0.0005322011127115974,0.006419447543214054,2.7240323232333434e-07,4.171272221707879e-06,0.005887246430502455,2.384777780679404e-06
1000,0.0015749163879598663,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.38075765592469296,0.0674180690989315,0.0,0.005551836043460604,0.0,3.6905858319298565e-06,0.005551836043460604,3.6905858319298565e-06
1000,0.0015749163879598663,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.7733,,,0.0002541903868692104,0.00432216333432775,1.4618073060762446e-07,7.466110193682086e-06,0.00406797294745854,5.919694268470956e-06
1000,0.0015749163879598663,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6165184931382535,0.0921369394618717,0.0,0.0036799614516662233,0.0,5.823770584015473e-06,0.0036799614516662233,5.823770584015473e-06
1000,0.001591304347826087,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9779,,,0.0003699576745701519,0.005494782705535184,1.9859141254456224e-07,4.704856796508181e-06,0.005124825030965033,3.1085292301513245e-06
1000,0.001591304347826087,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.506311575029492,0.08546149633858385,0.0,0.004689010002408082,0.0,4.110701951107541e-06,0.004689010002408082,4.110701951107541e-06
1000,0.001591304347826087,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.927,,,0.0005241230429687863,0.00638734899251693,2.6379523933456664e-07,4.11989499336978e-06,0.005863225949548144,2.3691352653886253e-06
1000,0.001591304347826087,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.3884157034859233,0.06789888384799403,0.0,0.005521633095441943,0.0,3.643642280909621e-06,0.005521633095441943,3.643642280909621e-06
1000,0.001591304347826087,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.7688,,,0.00024857601223755464,0.004279303859149826,1.3942689571926227e-07,7.44075098734728e-06,0.004030727846912272,5.930864421993347e-06
1000,0.001591304347826087,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6241249254503338,0.09096552292267077,0.0,0.0036419783967132887,0.0,5.790739073029301e-06,0.0036419783967132887,5.790739073029301e-06
1000,0.0016076923076923076,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9744,,,0.00038812229979925944,0.005566304880786982,2.151033090777783e-07,4.9265350237161095e-06,0.005178182580987723,3.225886648941931e-06
1000,0.0016076923076923076,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5014096695546734,0.08760755949465003,0.0,0.004756322420527416,0.0,4.307578617045434e-06,0.004756322420527416,4.307578617045434e-06
