n,p,conf_level,coverage_jeff,coverage_exact,coverage_approx,coverage_ecb,coverage_exact_unil,coverage_approx_unil,lb_mean_jeff,ub_mean_jeff,lb_var_jeff,ub_var_jeff,len_mean_jeff,len_var_jeff,lb_mean_exact,ub_mean_exact,lb_var_exact,ub_var_exact,len_mean_exact,len_var_exact,lb_mean_approx,ub_mean_approx,lb_var_approx,ub_var_approx,len_mean_approx,len_var_approx,lb_mean_ecb,ub_mean_ecb,lb_var_ecb,ub_var_ecb,len_mean_ecb,len_var_ecb,lb_mean_exact_unil,ub_mean_exact_unil,lb_var_exact_unil,ub_var_exact_unil,len_mean_exact_unil,len_var_exact_unil,lb_mean_approx_unil,ub_mean_approx_unil,lb_var_approx_unil,ub_var_approx_unil,len_mean_approx_unil,len_var_approx_unil
50,0.08410702341137123,0.95,0.977,0.977,0.923,0.927,0.988,0.927,0.030874652659306386,0.17954539859254043,0.00042740029000259137,0.0025860879235641175,0.14867074593323407,0.0009554691765413176,0.025809870760821533,0.1931598557270527,0.00037789487318295057,0.002447305702926259,0.1673499849662312,0.000952105601394848,0.008864765835671855,0.15533523416432815,0.0004386080472375579,0.0030020373649903348,0.1464704683286563,0.0012749308244557852,0.0,0.16166821549636412,0.0,0.0024077667517158324,0.16166821549636412,0.0024077667517158324,0.0,0.17480470018252497,0.0,0.0022933147841069194,0.17480470018252497,0.0022933147841069194,0.0,0.14356094595922086,0.0,0.002701722627029825,0.14356094595922086,0.002701722627029825
50,0.084438127090301,0.95,0.963,0.963,0.916,0.926,0.985,0.926,0.03188324320145085,0.18124322707075108,0.0005061351059296851,0.0028992160255823605,0.14935998386930027,0.001038058191994825,0.02679906052454669,0.19485168049945684,0.00045152943707940527,0.002746817251386438,0.16805261997491017,0.0010325949987044934,0.009990535910423405,0.15708946408957658,0.0005218500790313301,0.003369868536644806,0.1470989281791532,0.0013999636313522727,0.0,0.16333525582645927,0.0,0.002704025839061951,0.16333525582645927,0.002704025839061951,0.0,0.1764667703489779,0.0,0.0025783051035051033,0.1764667703489779,0.0025783051035051033,0.0,0.14526465602548663,0.0,0.003037433578615343,0.14526465602548663,0.003037433578615343
50,0.08476923076923076,0.95,0.966,0.966,0.922,0.929,0.989,0.929,0.03154834245439251,0.18080756309849005,0.0004840479437322067,0.0027696967377745926,0.14925922064409758,0.0009863649202187703,0.026462728952750734,0.19439821622969586,0.0004315811196806196,0.00262783230041392,0.16793548727694513,0.000983827678522396,0.009548295280281402,0.1566917047197186,0.0005017695254772509,0.0032040676996983623,0.1471434094394372,0.0013002120503512265,0.0,0.1629001936759343,0.0,0.002583930490417811,0.1629001936759343,0.002583930490417811,0.0,0.17601631979979915,0.0,0.0024668634711868726,0.17601631979979915,0.0024668634711868726,0.0,0.14486332095068086,0.0,0.0028907208345432776,0.14486332095068086,0.0028907208345432776
50,0.08510033444816054,0.95,0.97,0.97,0.919,0.923,0.987,0.923,0.032177865481498556,0.18217154068864164,0.000474642174637542,0.002799467797559549,0.1499936752071431,0.0010185776369272506,0.027068916054348597,0.19574979920226468,0.0004212947193205972,0.002650923354547652,0.16868088314791607,0.001014581146710775,0.0102521770794852,0.15810782292051478,0.0004879569865760537,0.0032496763729905893,0.14785564584102961,0.0013611563191332854,0.0,0.16422450521059292,0.0,0.0026086345793072158,0.16422450521059292,0.0026086345793072158,0.0,0.1773301768981393,0.0,0.0024861001546162046,0.1773301768981393,0.0024861001546162046,0.0,0.14622218476594656,0.0,0.0029270475391951142,0.14622218476594656,0.0029270475391951142
50,0.0854314381270903,0.95,0.969,0.969,0.927,0.937,0.992,0.937,0.0323857786063334,0.18318037161720419,0.0004841002423489437,0.002677362859568517,0.15079459301087075,0.0009314573102216885,0.027226837488698703,0.19669101171446313,0.0004336092301404317,0.00254550476519734,0.16946417422576443,0.0009308619600560562,0.010324346752059704,0.1592756532479403,0.0005057283997330752,0.0030842820040079457,0.1489513064958806,0.0012049808074820407,0.0,0.1651803595256927,0.0,0.002501050323736172,0.1651803595256927,0.002501050323736172,0.0,0.17822790937634023,0.0,0.002392186597112562,0.17822790937634023,0.002392186597112562,0.0,0.14730193846965114,0.0,0.0027879225102337727,0.14730193846965114,0.0027879225102337727
50,0.08576254180602007,0.95,0.963,0.978,0.936,0.953,0.995,0.838,0.03390537724008243,0.1869581544611226,0.0005208132519815622,0.002688193534853181,0.1530527772210402,0.0008861739250594691,0.02864270723924675,0.2003595649210906,0.00047094416568106614,0.002565992724012644,0.17171685768184386,0.0008875819999322317,0.01180189063044665,0.16335810936955333,0.0005511795037752435,0.0030784837215000332,0.1515562187391067,0.0011163520505505543,0.0,0.1688265025362318,0.0,0.0025181494524983174,0.1688265025362318,0.0025181494524983174,0.0,0.18178047372952083,0.0,0.002417155505945945,0.18178047372952083,0.002417155505945945,0.0,0.1511749941035704,0.0,0.002792795858245576,0.1511749941035704,0.002792795858245576
50,0.08609364548494984,0.95,0.958,0.979,0.931,0.937,0.985,0.813,0.03272245740571833,0.18356237246338714,0.000495773196150232,0.0028075495251287646,0.15083991505766883,0.0009984183571640844,0.027566680126029842,0.19710414178343563,0.0004432194644141852,0.002660861084443872,0.1695374616574058,0.0009925562351143329,0.01082784749887858,0.15957215250112142,0.0005115309039544133,0.003265177996599566,0.14874430500224287,0.0013511778011079585,0.0,0.16556634896135994,0.0,0.0026195044237316265,0.16556634896135994,0.0026195044237316265,0.0,0.1786407565144878,0.0,0.0024984903354314776,0.1786407565144878,0.0024984903354314776,0.0,0.14761507790479375,0.0,0.0029439357277894094,0.14761507790479375,0.0029439357277894094
50,0.0864247491638796,0.95,0.964,0.983,0.935,0.944,0.992,0.829,0.03425214085206311,0.18734207697672553,0.0005223782320815694,0.0028114627953014456,0.15308993612466246,0.0009569863985365257,0.029002026536070858,0.20076800072581158,0.0004697448411627395,0.0026766118794493573,0.17176597418974074,0.000956354931121895,0.012252044075837496,0.16370795592416248,0.0005475597608792915,0.0032354456855787275,0.151455911848325,0.0012335324929160373,0.0,0.16921416545166004,0.0,0.0026291715793506963,0.16921416545166004,0.0026291715793506963,0.0,0.1821893181717929,0.0,0.0025177920118870344,0.1821893181717929,0.0025177920118870344,0.0,0.1515329040053819,0.0,0.002928186643542664,0.1515329040053819,0.002928186643542664
50,0.08675585284280937,0.95,0.96,0.976,0.934,0.941,0.983,0.822,0.03303707827338852,0.1841875364910184,0.0005102775360369207,0.0028642161592268974,0.1511504582176299,0.001013045694033549,0.02786677954728576,0.1977234869809091,0.0004570646936883631,0.002714291330571882,0.1698567074336234,0.0010055717234656672,0.011189950667657492,0.1602100493323425,0.000526017140054094,0.0033378597035171984,0.14902009866468502,0.0013857136871425842,0.0,0.16617562669996266,0.0,0.002673067480544632,0.16617562669996266,0.002673067480544632,0.0,0.1792450923760447,0.0,0.0025493893568909877,0.1792450923760447,0.0025493893568909877,0.0,0.14823080457363477,0.0,0.003009386232268209,0.14823080457363477,0.003009386232268209
50,0.08708695652173913,0.95,0.959,0.975,0.93,0.935,0.98,0.826,0.03376852030322593,0.1858250519421862,0.0004913816154396742,0.0028664784796085616,0.1520565316389603,0.0010417191293081915,0.02856635709474876,0.19934492821063324,0.0004378581435577099,0.0027094141394133657,0.17077857111588451,0.0010318271819553127,0.012016115067865398,0.1619038849321346,0.0005005815956933624,0.0033577003441551817,0.14988776986426922,0.0014527302796970873,0.0,0.16776363144651285,0.0,0.0026711327298029816,0.16776363144651285,0.0026711327298029816,0.0,0.18081951462580537,0.0,0.0025416259236700086,0.18081951462580537,0.0025416259236700086,0.0,0.14985489088616266,0.0,0.0030206330823964018,0.14985489088616266,0.0030206330823964018
50,0.0874180602006689,0.95,0.956,0.978,0.935,0.945,0.988,0.826,0.03322656686402979,0.18490019541723124,0.0005160565787659835,0.0028031265483187792,0.15167362855320143,0.000965359728506604,0.028029810136533138,0.19839119976065325,0.00046397367356520677,0.0026639790576657536,0.17036138962412015,0.0009616013685542099,0.011270006719048768,0.16104999328095124,0.0005378433724220244,0.003243982231302319,0.14977998656190247,0.0012802336074486866,0.0,0.16685411382125878,0.0,0.0026198229181196844,0.16685411382125878,0.0026198229181196844,0.0,0.17988496407661836,0.0,0.0025049584269273496,0.17988496407661836,0.0025049584269273496,0.0,0.14900966358677828,0.0,0.002931803527085706,0.14900966358677828,0.002931803527085706
50,0.08774916387959866,0.95,0.971,0.984,0.944,0.953,0.993,0.836,0.034711046685292284,0.18871684795755236,0.000503687214709948,0.002705507907513755,0.15400580127226013,0.0009158406933775214,0.029415527286477082,0.20209610786658702,0.0004531249134669196,0.0025777627021619227,0.17268058058010996,0.0009157703739090605,0.012683211226929782,0.1651967887730702,0.0005290357637667649,0.0031093135881494396,0.15251357754614045,0.0011723931038324072,0.0,0.17053319983374338,0.0,0.0025306362567922144,0.17053319983374338,0.0025306362567922144,0.0,0.1834683526258467,0.0,0.002425108889573456,0.1834683526258467,0.002425108889573456,0.0,0.15293671452253335,0.0,0.002815224527380815,0.15293671452253335,0.002815224527380815
