t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
16,pre_drift,jeffreys,0.01,0.9809,0.04241383007935757,0.0191,0.002025893549674263,0.04443972362903196,8.70687623167104e-06,0.0003247131795483427,0.04241383007935757,0.00023727141837896824,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
17,pre_drift,jeffreys,0.01,0.9814,0.041846360391768284,0.0186,0.001918823733542176,0.043765184125310476,8.306157021064225e-06,0.00031539871019972687,0.041846360391768284,0.0002314743033945421,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
18,pre_drift,jeffreys,0.01,0.9831,0.041895641258196295,0.0169,0.001939878715924748,0.04383551997412123,8.308827009122634e-06,0.00031902004375339017,0.041895641258196295,0.00023438755612462917,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
19,pre_drift,jeffreys,0.01,0.9821,0.04222759690670895,0.0179,0.001984701487060082,0.04421229839376898,8.57454470295449e-06,0.00032025120304768036,0.04222759690670895,0.0002343262267151642,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
20,pre_drift,jeffreys,0.01,0.9806,0.042215279674020535,0.0194,0.001994583568503628,0.04420986324252423,8.769715987906303e-06,0.00032349859902982767,0.042215279674020535,0.00023617389829455322,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
21,pre_drift,jeffreys,0.01,0.982,0.04224673789419074,0.018,0.001993948677395384,0.04424068657158617,8.535743757112744e-06,0.00032181455079676943,0.04224673789419074,0.00023557425237629532,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
22,pre_drift,jeffreys,0.01,0.9824,0.04218746880578101,0.0176,0.001977332558185318,0.04416480136396633,8.466624337101076e-06,0.0003195008591597517,0.04218746880578101,0.000234131832900112,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
23,pre_drift,jeffreys,0.01,0.9816,0.04230909097050562,0.0184,0.0020198848742932632,0.04432897584479903,8.750176001930768e-06,0.0003266946988155252,0.04230909097050562,0.00023878597569506536,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
24,pre_drift,jeffreys,0.01,0.9797,0.04203020905785896,0.0203,0.001976649702598041,0.04400685876045696,8.757566197011603e-06,0.00032491583842300426,0.04203020905785896,0.00023740999164467225,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
25,post_drift,jeffreys,0.010227272727272727,0.9796,0.04266059138931243,0.0204,0.00205459548748679,0.04471518687679939,8.94277341875118e-06,0.00032426025195333736,0.04266059138931243,0.00023595914420645623,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
