t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_n,scenario_p
45,post_drift,jeffreys,0.014772727272727272,0.988,0.04887408664652558,0.059,0.0033583633394497535,0.05223244998597515,1.6053003733686554e-05,0.00040303917620706977,0.04887408664652558,0.00027042390145899957,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
46,post_drift,jeffreys,0.015,0.989,0.049176885062884104,0.065,0.003450333074945601,0.05262721813782952,1.7143630757166745e-05,0.000412466507843527,0.049176885062884104,0.0002738842099933407,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
47,post_drift,jeffreys,0.015227272727272728,0.981,0.04994959568642342,0.076,0.0036615026869202282,0.05361109837334358,1.925921454346388e-05,0.00042856033188281217,0.04994959568642342,0.00027915840489211403,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
48,post_drift,jeffreys,0.015454545454545453,0.981,0.04843035507164568,0.063,0.0033843086649473736,0.051814663736592874,2.0587205101967248e-05,0.0004404971503048547,0.04843035507164568,0.0002865391886851961,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
49,post_drift,jeffreys,0.015681818181818182,0.971,0.04977530118739511,0.08,0.0037827823283377296,0.0535580835157326,2.2984535834127996e-05,0.0004742303556797005,0.04977530118739511,0.00030383517386143883,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
50,post_drift,jeffreys,0.015909090909090907,0.97,0.050234982122701596,0.085,0.0038881011301590287,0.05412308325286049,2.314614753663393e-05,0.0004757295858827766,0.050234982122701596,0.00030408500410595814,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
51,post_drift,jeffreys,0.016136363636363636,0.975,0.050543624081882656,0.077,0.003822846694556717,0.05436647077643923,2.2066127151497415e-05,0.00044218285994094284,0.050543624081882656,0.00028140180583028024,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
52,post_drift,jeffreys,0.016363636363636365,0.983,0.05045626203483508,0.073,0.003737856611007708,0.05419411864584252,1.8701764541083562e-05,0.00041921365251264796,0.05045626203483508,0.00027344121256308185,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
53,post_drift,jeffreys,0.01659090909090909,0.975,0.051047961939988104,0.067,0.003887138721536746,0.054935100661524724,2.1379132512971163e-05,0.00042896757934667495,0.051047961939988104,0.0002742647877656168,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
54,post_drift,jeffreys,0.01681818181818182,0.969,0.05157859374580634,0.089,0.004149180152782499,0.0557277738985886,2.211899961427758e-05,0.00046306360633818766,0.05157859374580634,0.00029706336273338345,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
55,post_drift,jeffreys,0.017045454545454544,0.97,0.052958000821417,0.099,0.0044318540022022,0.057389854823618996,2.386539221856098e-05,0.0004542565897305089,0.052958000821417,0.0002833569917427949,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
56,post_drift,jeffreys,0.017272727272727273,0.971,0.05263964968182287,0.108,0.00439806814074062,0.057037717822563304,2.3737152445186056e-05,0.00046466687692959174,0.05263964968182287,0.00029198402356826227,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
57,post_drift,jeffreys,0.0175,0.967,0.05174723619952069,0.102,0.004254337911818779,0.05600157411133936,2.6858641553872797e-05,0.0004887064133302491,0.05174723619952069,0.0003024190526025052,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
58,post_drift,jeffreys,0.017727272727272727,0.969,0.05299499249591472,0.11,0.004471131403874532,0.057466123899789126,2.4560824742054245e-05,0.0004627373292265735,0.05299499249591472,0.00028750127636546384,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
59,post_drift,jeffreys,0.017954545454545456,0.957,0.05411025801645702,0.115,0.004810136122208263,0.05892039413866501,2.939718406792145e-05,0.0004848934133284016,0.05411025801645702,0.00029083490916856705,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
60,post_drift,jeffreys,0.01818181818181818,0.964,0.05335949942224322,0.112,0.004677580077718945,0.058037079499961966,2.6127713928778338e-05,0.0004922357492603536,0.05335949942224322,0.0003060755353138994,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
61,post_drift,jeffreys,0.01840909090909091,0.958,0.05361359099295948,0.121,0.004732156120272679,0.05834574711323194,2.7997040897698646e-05,0.0004940003965540774,0.05361359099295948,0.0003016382087734741,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
62,post_drift,jeffreys,0.01863636363636364,0.953,0.05476259000330362,0.121,0.0049678300047770055,0.059730420008080466,2.8771787612223355e-05,0.00047913590914654006,0.05476259000330362,0.00028730273827588327,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
63,post_drift,jeffreys,0.018863636363636364,0.961,0.05416749966749741,0.128,0.0048982627166434785,0.05906576238414067,2.936023747479594e-05,0.0005012876174531073,0.05416749966749741,0.00030297830160772336,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
64,post_drift,jeffreys,0.019090909090909092,0.957,0.05547769417262879,0.137,0.005240481704924021,0.06071817587755251,3.0165229247631048e-05,0.0004983839757587531,0.05547769417262879,0.00029768190594667895,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
65,post_drift,jeffreys,0.019318181818181818,0.955,0.05508435597561149,0.134,0.005096285820404048,0.060180641796015254,2.7298617636453777e-05,0.0004844678822509031,0.05508435597561149,0.00029472265855612356,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
66,post_drift,jeffreys,0.019545454545454546,0.983,0.055348687757150204,0.14,0.005280623574443951,0.06062931133159386,3.1458789631761334e-05,0.0005189399168052796,0.055348687757150204,0.00031028987781431434,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
67,post_drift,jeffreys,0.019772727272727275,0.987,0.05498625104189951,0.125,0.005074128509752283,0.06006037955165154,2.903199608089243e-05,0.0004896041064133341,0.05498625104189951,0.00029523543251819143,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
68,post_drift,jeffreys,0.02,0.985,0.055708225213488026,0.147,0.005376893945239705,0.06108511915872749,3.2748589345381435e-05,0.0005203105488194612,0.055708225213488026,0.00030750518525139844,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
1,pre_drift,cp,0.01,0.982,0.05150932548880399,0.018,0.0010525761997020678,0.05256190168850563,4.663026194866362e-06,0.00025943061563632507,0.05150932548880399,0.00020591015361261797,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
2,pre_drift,cp,0.01,0.989,0.05222932471655384,0.011,0.0010210433269732873,0.05325036804352662,3.649920873890603e-06,0.00023693506924340763,0.05222932471655384,0.0001912632641763285,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
3,pre_drift,cp,0.01,0.982,0.05184772150763832,0.018,0.0010833128808152889,0.05293103438845311,4.640446781068731e-06,0.0002612576659692901,0.05184772150763832,0.00020763870453513206,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
4,pre_drift,cp,0.01,0.981,0.05297548423133972,0.019,0.0012617045701717676,0.05423718880151102,5.058313443346506e-06,0.0002829535480920382,0.05297548423133972,0.00022311257001617546,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
5,pre_drift,cp,0.01,0.984,0.05201485976253295,0.016,0.0011030554182309693,0.05311791518076348,4.834200503023182e-06,0.0002627999531565994,0.05201485976253295,0.00020777085263367365,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
