t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
39,post_drift,jeffreys,0.013409090909090909,0.9503,0.014272685707293974,0.1942,0.007670124202132307,0.021942809909425248,7.0745467708907574e-06,2.063501958712876e-05,0.014272685707293974,3.5856049972861695e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
40,post_drift,jeffreys,0.013636363636363637,0.9582,0.014376261526934064,0.2155,0.007824017334573077,0.02220027886150605,7.429571888198757e-06,2.1466616447353057e-05,0.014376261526934064,3.6801570673835595e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
41,post_drift,jeffreys,0.013863636363636364,0.9443,0.014518185106868543,0.2341,0.008021302012381576,0.02253948711924918,7.405856316099614e-06,2.1199038543134353e-05,0.014518185106868543,3.5834084868987485e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
42,post_drift,jeffreys,0.014090909090909091,0.9406,0.014619894824544831,0.2519,0.008170452111187531,0.022790346935731478,7.668049027877497e-06,2.1679871400707485e-05,0.014619894824544831,3.5968997675762525e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
43,post_drift,jeffreys,0.014318181818181818,0.9501,0.014786362545331206,0.2847,0.008425645935168499,0.02321200848049883,8.127376357411367e-06,2.2784496741593582e-05,0.014786362545331206,3.7354068989073807e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
44,post_drift,jeffreys,0.014545454545454545,0.954,0.014902540759676015,0.3,0.008589413283017348,0.023491954042692557,8.02765217897609e-06,2.2275314478199435e-05,0.014902540759676015,3.595127491282297e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
45,post_drift,jeffreys,0.014772727272727272,0.9512,0.014956573046193057,0.312,0.00867540308718353,0.023631976133375785,8.235829501580398e-06,2.2785290363008153e-05,0.014956573046193057,3.659670436055969e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
46,post_drift,jeffreys,0.015,0.9515,0.015078398863867446,0.3338,0.008858274310358452,0.02393667317422523,8.355798952017145e-06,2.2909823508150012e-05,0.015078398863867446,3.627905947602958e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
47,post_drift,jeffreys,0.015227272727272728,0.9419,0.01518495702262407,0.3559,0.009021143678375245,0.02420610070099852,8.548031604896136e-06,2.3193800128817497e-05,0.01518495702262407,3.615845876455331e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
48,post_drift,jeffreys,0.015454545454545453,0.9475,0.015289198489648608,0.3752,0.009182774029367145,0.024471972519015082,8.713619474220858e-06,2.3466818901296364e-05,0.015289198489648608,3.6152529822752635e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
