t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
53,post_drift,jeffreys,0.01659090909090909,0.9487,0.005006477820895962,1.0,0.014222715305147335,0.019229193126043428,1.41651149522553e-06,1.9070345690086195e-06,0.005006477820895962,3.6427591412660065e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
54,post_drift,jeffreys,0.01681818181818182,0.9505,0.0050441621458769716,0.9999,0.014457990217932962,0.01950215236380988,1.3905886409348628e-06,1.8674388004323106e-06,0.0050441621458769716,3.511321946936518e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
55,post_drift,jeffreys,0.017045454545454544,0.9543,0.005076717207027583,1.0,0.014663738948159033,0.019740456155186607,1.4135412722422725e-06,1.8943366700009657e-06,0.005076717207027583,3.515620513678264e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
56,post_drift,jeffreys,0.017272727272727273,0.9482,0.0051086059464762,1.0,0.014867171582728378,0.019975777529204645,1.4593011819209701e-06,1.9517756136056582e-06,0.0051086059464762,3.576590865652014e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
57,post_drift,jeffreys,0.0175,0.9522,0.005143679724518345,1.0,0.015092285002662848,0.020235964727181224,1.4890089768878354e-06,1.987645968668536e-06,0.005143679724518345,3.5973020174085726e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
58,post_drift,jeffreys,0.017727272727272727,0.9523,0.005172167517464167,1.0,0.015275934263295776,0.02044810178075999,1.4873441555033522e-06,1.9817544666580057e-06,0.005172167517464167,3.543910665062622e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
59,post_drift,jeffreys,0.017954545454545456,0.9505,0.005204558910291577,1.0,0.015487433141158994,0.02069199205145052,1.5574858880554971e-06,2.0710920344001486e-06,0.005204558910291577,3.656221113160693e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
60,post_drift,jeffreys,0.01818181818181818,0.9499,0.005236683344021296,1.0,0.015696676189197668,0.020933359533219065,1.5075281623806226e-06,2.000990023122559e-06,0.005236683344021296,3.489971191264474e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
61,post_drift,jeffreys,0.01840909090909091,0.9462,0.005268254007648061,1.0,0.015905906176691725,0.02117416018433999,1.58461583111343e-06,2.0996018912290584e-06,0.005268254007648061,3.619717067972729e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
62,post_drift,jeffreys,0.01863636363636364,0.949,0.005301891788180616,1.0,0.016129388208184305,0.021431279996365047,1.607855830613829e-06,2.1258845796840353e-06,0.005301891788180616,3.613740067076761e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
63,post_drift,jeffreys,0.018863636363636364,0.945,0.005332030389760596,1.0,0.01633102660043314,0.021663056990193913,1.6262507079878048e-06,2.1466641967080122e-06,0.005332030389760596,3.609100660121567e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
64,post_drift,jeffreys,0.019090909090909092,0.9508,0.005361996361965537,1.0,0.01653317117452741,0.0218951675364933,1.6664691096312883e-06,2.1961448119247576e-06,0.005361996361965537,3.6516776511903796e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
65,post_drift,jeffreys,0.019318181818181818,0.9541,0.0053968659656272846,1.0,0.016768323735989618,0.02216518970161713,1.6045262432720967e-06,2.110615182616157e-06,0.0053968659656272846,3.465683780100082e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
66,post_drift,jeffreys,0.019545454545454546,0.9526,0.005426096323264034,1.0,0.01696852676062605,0.022394623083890307,1.6661661073755153e-06,2.187254378774946e-06,0.005426096323264034,3.542029190609796e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
67,post_drift,jeffreys,0.019772727272727275,0.9545,0.005456107255307694,1.0,0.01717441774621055,0.022630525001518617,1.6582696744309286e-06,2.1741824517589655e-06,0.005456107255307694,3.490763192887382e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
68,post_drift,jeffreys,0.02,0.9534,0.005486815024448092,1.0,0.017386078547002585,0.022872893571450944,1.6311141204097216e-06,2.1347900163791282e-06,0.005486815024448092,3.385675364097094e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
1,pre_drift,cp,0.01,0.9524,0.003998877051653206,0.0476,0.008136925840628981,0.012135802892282293,8.288825369342384e-07,1.2212446366266104e-06,0.003998877051653206,3.7946914053200255e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
2,pre_drift,cp,0.01,0.9573,0.004003336317298351,0.0427,0.008156893723568582,0.012160230040867021,8.042021122834264e-07,1.183843019534963e-06,0.004003336317298351,3.663427482328746e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
