t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
50,post_drift,jeffreys,0.015909090909090907,0.9785,0.05064163089495168,0.0786,0.0038713285992077935,0.05451295949416092,2.0999509767840658e-05,0.0004458998452540135,0.05064163089495168,0.00028740183741086944,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
51,post_drift,jeffreys,0.016136363636363636,0.9758,0.05072199325712906,0.0795,0.003909078229147682,0.05463107148627831,2.1615047634525582e-05,0.0004518569662981353,0.05072199325712906,0.0002900930052805932,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
52,post_drift,jeffreys,0.016363636363636365,0.9784,0.050848144457020246,0.0803,0.003937481781528337,0.054785626238550204,2.1153254953750605e-05,0.0004507666037483109,0.050848144457020246,0.00029063320381104204,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
53,post_drift,jeffreys,0.01659090909090909,0.9742,0.051395600689641115,0.0878,0.004064222778005783,0.05545982346764841,2.2309473508924903e-05,0.00045355325148767334,0.051395600689641115,0.0002887036130355871,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
54,post_drift,jeffreys,0.01681818181818182,0.9752,0.051494993361975216,0.0852,0.004089880157697252,0.055584873519673894,2.227188381106093e-05,0.00045401772405568317,0.051494993361975216,0.00028942131753001204,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
55,post_drift,jeffreys,0.017045454545454544,0.9695,0.05212840928776461,0.0967,0.004269735344571798,0.05639814463233831,2.392348337686031e-05,0.000464420111824427,0.05212840928776461,0.00029166187876357485,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
56,post_drift,jeffreys,0.017272727272727273,0.968,0.052439056745280835,0.0996,0.004365869294904788,0.056804926040187456,2.4710155579546305e-05,0.0004708213627039439,0.052439056745280835,0.00029426584069044536,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
57,post_drift,jeffreys,0.0175,0.9669,0.05246397701387199,0.1022,0.004410069202923685,0.05687404621679752,2.512768698834162e-05,0.0004805651512141845,0.05246397701387199,0.00030059137222865134,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
58,post_drift,jeffreys,0.017727272727272727,0.9679,0.052699222497670554,0.1029,0.004450129641217944,0.05714935213889054,2.596626086792716e-05,0.00047814464074659273,0.052699222497670554,0.0002962536334440266,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
59,post_drift,jeffreys,0.017954545454545456,0.9658,0.05316511379610761,0.1092,0.004568974805740037,0.05773408860184965,2.6350033716539563e-05,0.0004793171769821164,0.05316511379610761,0.00029552388929436884,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
60,post_drift,jeffreys,0.01818181818181818,0.9638,0.053356385280032115,0.1139,0.004651062257268272,0.058007447537302324,2.6571531035691274e-05,0.0004873848152062749,0.053356385280032115,0.0003007946563556947,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
61,post_drift,jeffreys,0.01840909090909091,0.961,0.053584810822101245,0.1159,0.004732408112558013,0.05831721893466164,2.7634909415840956e-05,0.000494804963570732,0.053584810822101245,0.0003036136071990058,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
62,post_drift,jeffreys,0.01863636363636364,0.9619,0.05407082778404305,0.1167,0.00481585927312655,0.05888668705717179,2.7482622946754675e-05,0.00048411856844765,0.05407082778404305,0.00029554719424088006,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
63,post_drift,jeffreys,0.018863636363636364,0.9596,0.054229722073558674,0.1199,0.004876236247325862,0.05910595832088678,2.8219322252217327e-05,0.0004899414756716187,0.054229722073558674,0.0002978024250598274,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
64,post_drift,jeffreys,0.019090909090909092,0.9572,0.05409789978567291,0.1206,0.004867107570557036,0.05896500735623223,2.905939210096178e-05,0.0004978588049231237,0.05409789978567291,0.00030165044807668696,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
65,post_drift,jeffreys,0.019318181818181818,0.9539,0.05478731529139327,0.1323,0.005109131962179344,0.05989644725357524,3.072474791918626e-05,0.0005139783977785462,0.05478731529139327,0.000308738736086269,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
66,post_drift,jeffreys,0.019545454545454546,0.9853,0.054925475581803766,0.1273,0.005101628681779344,0.0600271042635858,3.0680262803288894e-05,0.0005034503192471065,0.054925475581803766,0.000300966157854183,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
67,post_drift,jeffreys,0.019772727272727275,0.9865,0.05545378053258408,0.1364,0.005226717577953376,0.060680498110540396,3.068241209536658e-05,0.0004980574331138296,0.05545378053258408,0.00029638808490297297,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
