n,p_true,np_target,rho,method,coverage,avg_length,reject_star_rate,conf_level,n_sim
50,0.0014000000000000002,0.07,0.02,cp,0.9858,0.07341006887207681,0.0142,0.95,5000
50,0.0014000000000000002,0.07,0.02,normal,0.0496,0.003708475763837979,0.9504,0.95,5000
50,0.0014000000000000002,0.07,0.05,jeffreys,0.9684,0.05075559979150652,0.0316,0.95,5000
50,0.0014000000000000002,0.07,0.05,cp,0.9836,0.07300657179369936,0.0164,0.95,5000
50,0.0014000000000000002,0.07,0.05,normal,0.0266,0.002918531442921238,0.9734,0.95,5000
50,0.0014000000000000002,0.07,0.1,jeffreys,0.9736,0.05070113441591877,0.0264,0.95,5000
50,0.0014000000000000002,0.07,0.1,cp,0.9852,0.07297306538412249,0.0148,0.95,5000
50,0.0014000000000000002,0.07,0.1,normal,0.02,0.0027954803432301903,0.98,0.95,5000
50,0.0014000000000000002,0.07,0.15,jeffreys,0.9796,0.05054059434874227,0.0204,0.95,5000
50,0.0014000000000000002,0.07,0.15,cp,0.987,0.0728363535055868,0.013,0.95,5000
50,0.0014000000000000002,0.07,0.15,normal,0.0128,0.0025217293093185277,0.9872,0.95,5000
50,0.0014000000000000002,0.07,0.2,jeffreys,0.987,0.04990734928153658,0.013,0.95,5000
50,0.0014000000000000002,0.07,0.2,cp,0.9916,0.07223105411718572,0.0084,0.95,5000
50,0.0014000000000000002,0.07,0.2,normal,0.0082,0.0016176516445772394,0.9918,0.95,5000
50,0.002,0.1,0.0,jeffreys,0.9036,0.05259594646507735,0.0964,0.95,5000
50,0.002,0.1,0.0,cp,0.9958,0.07459089497075627,0.0042,0.95,5000
50,0.002,0.1,0.0,normal,0.0964,0.005817976996930861,0.9036,0.95,5000
50,0.002,0.1,0.01,jeffreys,0.9236,0.05221412805401883,0.0764,0.95,5000
50,0.002,0.1,0.01,cp,0.9844,0.07428837046567321,0.0156,0.95,5000
50,0.002,0.1,0.01,normal,0.0754,0.005187882995118464,0.9246,0.95,5000
50,0.002,0.1,0.02,jeffreys,0.9292,0.05227998576472154,0.0708,0.95,5000
50,0.002,0.1,0.02,cp,0.9788,0.07437697437265041,0.0212,0.95,5000
50,0.002,0.1,0.02,normal,0.0676,0.005250987469045999,0.9324,0.95,5000
50,0.002,0.1,0.05,jeffreys,0.9506,0.05173478256690994,0.0494,0.95,5000
50,0.002,0.1,0.05,cp,0.9776,0.07391670987197199,0.0224,0.95,5000
50,0.002,0.1,0.05,normal,0.0422,0.0043709706128651285,0.9578,0.95,5000
