design,scenario,n,p_true,rho,method,coverage,avg_length,reject_star_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,conf_level,n_sim
scenarios,Baseline,1000,0.01,0.015,cp,0.4123,0.011608081597484934,0.5877,0.005938811864965608,0.017546893462450544,9.128096445765966e-05,0.00024865068962708244,0.011608081597484934,4.3487195545898436e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.015,normal,0.3277,0.009789935496693226,0.6723,0.00530566026616781,0.015095595762861035,8.828717924783111e-05,0.0002598581626503206,0.009789935496693226,5.383384254002323e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.02,jeffreys,0.2974,0.010244869704770902,0.7026,0.006429476726418707,0.016674346431189608,0.00012565064475806418,0.0003220950690249445,0.010244869704770902,5.1591113710064464e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.02,cp,0.3571,0.01127388069758926,0.6429,0.006198528886755938,0.017472409584345195,0.00012348892565320092,0.0003169857561805406,0.01127388069758926,5.104725793195937e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.02,normal,0.2791,0.009318587280291757,0.7209,0.005620582313597471,0.014939169593889226,0.00011989072661824607,0.0003311274181241889,0.009318587280291757,6.332966396955045e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.03,jeffreys,0.2272,0.009464791283605365,0.7728,0.006521183942515856,0.015985975226121222,0.0001830987334627209,0.00043378436096260913,0.009464791283605365,6.163259899741906e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.03,cp,0.2786,0.010513169528800412,0.7214,0.006322773889604133,0.016835943418404543,0.00018035782344508,0.0004272941847360387,0.010513169528800412,6.087901784269054e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.03,normal,0.2147,0.008309166360304316,0.7853,0.005839984988796739,0.014149151349101056,0.00017585948181976646,0.0004459722714419711,0.008309166360304316,7.575609487406112e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.04,jeffreys,0.187,0.00897216111930011,0.813,0.006844202560818742,0.015816363680118854,0.0002550459703116088,0.0005642817700989013,0.00897216111930011,7.06658302591028e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.04,cp,0.228,0.010036219100110188,0.772,0.006668565947178655,0.01670478504728884,0.0002517376001685424,0.000556607717795133,0.010036219100110188,6.976761493734895e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.04,normal,0.1763,0.007651026671815177,0.8237,0.006250419810575067,0.013901446482390244,0.0002465346599990734,0.0005793144363544713,0.007651026671815177,8.62874499625331e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.05,jeffreys,0.1672,0.008525966854232757,0.8328,0.006908585439173408,0.015434552293406161,0.00031458980666666727,0.0006617950644089823,0.008525966854232757,7.51336698549988e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.05,cp,0.2018,0.009601798685446158,0.7982,0.006750314971731152,0.016352113657177314,0.0003109347133911462,0.0006534355138959525,0.009601798685446158,7.415904502401344e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.05,normal,0.1581,0.007082012487545617,0.8419,0.006378192985744188,0.013460205473289804,0.0003053981995945996,0.0006786500429254269,0.007082012487545617,9.141469536325788e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.07,jeffreys,0.1241,0.007805828993940006,0.8759,0.007174480992212514,0.01498030998615252,0.000495407534474366,0.0009295194669734869,0.007805828993940006,8.240488068185426e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.07,cp,0.152,0.008898456427167007,0.848,0.007043281580921982,0.015941738008088988,0.0004910660814786299,0.0009200784944719742,0.008898456427167007,8.137201392978817e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.07,normal,0.1186,0.006173373195870198,0.8814,0.006746037577406899,0.0129194107732771,0.00048526721814019325,0.0009497180489721142,0.006173373195870198,9.897506861285767e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.1,jeffreys,0.0886,0.007109094115104446,0.9114,0.007315706062456564,0.01442480017756101,0.0006673495358287039,0.001172871865987731,0.007109094115104446,8.685992184118699e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.1,cp,0.1089,0.008219782022715618,0.8911,0.0072102054270759336,0.015429987449791549,0.0006624165898025383,0.001162538651089125,0.008219782022715618,8.580080842878397e-05,0.95,10000
scenarios,Baseline,1000,0.01,0.1,normal,0.0848,0.005294111769195394,0.9152,0.006979552607257534,0.012273664376452928,0.0006564881867341299,0.0011960425699719768,0.005294111769195394,0.00010325059472372426,0.95,10000
scenarios,Low Default,1000,0.001,0.0,jeffreys,0.9817,0.004283832059842349,0.0183,0.00019431317791230543,0.004478145237754656,8.294405526553482e-08,3.403146007994281e-06,0.004283832059842349,2.5241246601216693e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.0,cp,0.9817,0.005335038905410863,0.0183,0.00011343608463174965,0.005448474990042613,4.952696666882243e-08,2.8663288188274967e-06,0.005335038905410863,2.278373139340397e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.0,normal,0.6285,0.0024940770520895583,0.3715,3.747940917435176e-06,0.002497824993006993,2.1205863965824658e-09,4.867805496907355e-06,0.0024940770520895583,4.819872449667429e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.005,jeffreys,0.9096,0.003818014325428011,0.0904,0.0003565147257635831,0.004174529051191594,1.403644950944649e-06,1.2542320110596738e-05,0.003818014325428011,6.102591369200483e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.005,cp,0.9096,0.004934016992422611,0.0904,0.000300703746092803,0.005234720738515415,1.2383682872408785e-06,1.1491952521011904e-05,0.004934016992422611,5.769623106595627e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.005,normal,0.2577,0.0017617033752886698,0.7423,0.00017233013596059743,0.0019340335112492675,8.602970290642312e-07,1.4930472631822145e-05,0.0017617033752886698,1.0213794766007369e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.01,jeffreys,0.9189,0.003622419253955955,0.0811,0.0004510100502040185,0.004073429304159974,4.146802487482786e-06,2.1529639988388992e-05,0.003622419253955955,7.723735540828895e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.01,cp,0.9189,0.0047567472828476155,0.0811,0.0004072349467139954,0.00516398222956161,3.885122227999742e-06,2.0316092716447082e-05,0.0047567472828476155,7.404609824386627e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.01,normal,0.1568,0.0014517948634765016,0.8432,0.00030291120981293124,0.001754706073289433,3.3005390862348785e-06,2.41338377421824e-05,0.0014517948634765016,1.1857785684533453e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.015,jeffreys,0.9257,0.0035170884597914855,0.0743,0.000506877077790453,0.004023965537581939,6.8519654202507354e-06,2.8600351980170373e-05,0.0035170884597914855,8.595701178732077e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.015,cp,0.9257,0.004659790040324041,0.0743,0.00046954422547078865,0.005129334265794828,6.5294418862980694e-06,2.7308641593462457e-05,0.004659790040324041,8.292173270426142e-06,0.95,10000
scenarios,Low Default,1000,0.001,0.015,normal,0.1143,0.0012886827402229717,0.8857,0.00037996541712548835,0.00166864815734846,5.826285415113091e-06,3.13047729905356e-05,0.0012886827402229717,1.2625225326503018e-05,0.95,10000
scenarios,Low Default,1000,0.001,0.02,jeffreys,0.9336,0.003441301196025556,0.0664,0.0005527603274494442,0.0039940615234750005,9.182213529530403e-06,3.472984012977951e-05,0.003441301196025556,9.27819206455805e-06,0.95,10000
