n,p,conf_level,coverage_jeff,coverage_exact,coverage_approx,coverage_ecb,coverage_approx_unil,coverage_exact_unil
100,0.0708628762541806,0.95,0.9503,0.9503,0.9147,0.9266,0.9266,0.9761
100,0.07119397993311037,0.95,0.9467,0.9623,0.9165,0.9289,0.9289,0.9747
100,0.07152508361204013,0.95,0.9537,0.9664,0.9245,0.9372,0.9372,0.9791
100,0.0718561872909699,0.95,0.9478,0.9634,0.9186,0.932,0.932,0.9768
100,0.07218729096989966,0.95,0.9505,0.9658,0.931,0.937,0.937,0.98
100,0.07251839464882943,0.95,0.9528,0.9658,0.931,0.9359,0.8559,0.978
100,0.0728494983277592,0.95,0.9513,0.9676,0.932,0.9381,0.8596,0.9798
100,0.07318060200668897,0.95,0.9546,0.9693,0.9362,0.9424,0.8645,0.9828
100,0.07351170568561873,0.95,0.9458,0.9643,0.9349,0.9407,0.8646,0.9803
100,0.0738428093645485,0.95,0.9482,0.9673,0.941,0.9477,0.8761,0.983
100,0.07417391304347826,0.95,0.948,0.9664,0.9363,0.9442,0.8746,0.9837
100,0.07450501672240803,0.95,0.9498,0.9688,0.9401,0.947,0.8704,0.985
100,0.07483612040133779,0.95,0.9465,0.9648,0.9421,0.9498,0.8798,0.9828
100,0.07516722408026756,0.95,0.964,0.964,0.9408,0.9499,0.8798,0.983
100,0.07549832775919732,0.95,0.965,0.965,0.9383,0.947,0.8783,0.9823
100,0.07582943143812709,0.95,0.9638,0.9638,0.9384,0.9472,0.8787,0.9472
100,0.07616053511705685,0.95,0.9649,0.9649,0.9417,0.9499,0.8861,0.9499
100,0.07649163879598662,0.95,0.9703,0.9703,0.9451,0.9529,0.8895,0.9529
100,0.07682274247491638,0.95,0.9634,0.9634,0.9452,0.9549,0.8929,0.9549
100,0.07715384615384616,0.95,0.9658,0.9658,0.9485,0.9589,0.8954,0.9589
100,0.07748494983277592,0.95,0.9635,0.9635,0.9452,0.9561,0.9002,0.9561
100,0.07781605351170569,0.95,0.9597,0.9597,0.9433,0.9569,0.8932,0.9569
100,0.07814715719063545,0.95,0.9376,0.9658,0.9503,0.9608,0.9017,0.9608
100,0.07847826086956522,0.95,0.9304,0.959,0.8898,0.9569,0.9008,0.9569
100,0.07880936454849498,0.95,0.9318,0.9712,0.8865,0.9574,0.8997,0.9574
100,0.07914046822742475,0.95,0.9386,0.9777,0.8935,0.9622,0.905,0.9622
100,0.07947157190635451,0.95,0.9351,0.9749,0.8959,0.9614,0.9082,0.9614
100,0.07980267558528428,0.95,0.9336,0.9761,0.8949,0.9616,0.9083,0.9616
100,0.08013377926421404,0.95,0.932,0.9736,0.9011,0.9616,0.9078,0.9616
100,0.08046488294314381,0.95,0.9344,0.9757,0.9042,0.9637,0.9092,0.9637
100,0.08079598662207357,0.95,0.9289,0.9721,0.904,0.9615,0.9097,0.9615
100,0.08112709030100335,0.95,0.9326,0.9711,0.9031,0.9631,0.9105,0.9631
100,0.0814581939799331,0.95,0.9336,0.9749,0.9115,0.9666,0.9191,0.9666
100,0.08178929765886288,0.95,0.9324,0.9729,0.905,0.9671,0.9129,0.9671
100,0.08212040133779264,0.95,0.9345,0.9753,0.9098,0.9685,0.9167,0.9685
100,0.08245150501672241,0.95,0.9343,0.9738,0.9123,0.9699,0.9195,0.9699
100,0.08278260869565217,0.95,0.956,0.9762,0.9147,0.9229,0.9229,0.9713
100,0.08311371237458194,0.95,0.9482,0.9701,0.9104,0.9207,0.9207,0.9684
