prefix,design,metric,context,n,rho,conf_level,nominal,xlim_low,xlim_high,method_key,method_label,collapsed_group,rmse,figure,scenario,rho_min,rho_max
beta_binom_zoom,curves,coverage,n100_rho0_1,100.0,0.1,0.95,0.95,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.4811357310226155,beta_binom_zoom_curves_coverage_n100_rho0_1.png,,,
beta_binom_zoom,curves,coverage,n100_rho0_1,100.0,0.1,0.95,0.95,,,normal,Normal approximation,normal,0.6467133953048032,beta_binom_zoom_curves_coverage_n100_rho0_1.png,,,
beta_binom_zoom,curves,reject,n10000_rho0,10000.0,0.0,0.95,0.050000000000000044,,,cp,Exact Clopper–Pearson,cp,0.007055305332395883,beta_binom_zoom_curves_reject_n10000_rho0.png,,,
beta_binom_zoom,curves,reject,n10000_rho0,10000.0,0.0,0.95,0.050000000000000044,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.002072277330217496,beta_binom_zoom_curves_reject_n10000_rho0.png,,,
beta_binom_zoom,curves,reject,n10000_rho0,10000.0,0.0,0.95,0.050000000000000044,,,normal,Normal approximation,normal,0.004131989028704372,beta_binom_zoom_curves_reject_n10000_rho0.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_01,10000.0,0.01,0.95,0.050000000000000044,,,cp,Exact Clopper–Pearson,cp,0.7993143280337216,beta_binom_zoom_curves_reject_n10000_rho0_01.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_01,10000.0,0.01,0.95,0.050000000000000044,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.8022049760919379,beta_binom_zoom_curves_reject_n10000_rho0_01.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_01,10000.0,0.01,0.95,0.050000000000000044,,,normal,Normal approximation,normal,0.8024906362901273,beta_binom_zoom_curves_reject_n10000_rho0_01.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_05,10000.0,0.05,0.95,0.050000000000000044,,,cp,Exact Clopper–Pearson,cp,0.8896769925090791,beta_binom_zoom_curves_reject_n10000_rho0_05.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_05,10000.0,0.05,0.95,0.050000000000000044,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.8906891661329819,beta_binom_zoom_curves_reject_n10000_rho0_05.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_05,10000.0,0.05,0.95,0.050000000000000044,,,normal,Normal approximation,normal,0.8907031866265365,beta_binom_zoom_curves_reject_n10000_rho0_05.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_1,10000.0,0.1,0.95,0.050000000000000044,,,cp,Exact Clopper–Pearson,cp,0.9121873252426462,beta_binom_zoom_curves_reject_n10000_rho0_1.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_1,10000.0,0.1,0.95,0.050000000000000044,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.9128076781739586,beta_binom_zoom_curves_reject_n10000_rho0_1.png,,,
beta_binom_zoom,curves,reject,n10000_rho0_1,10000.0,0.1,0.95,0.050000000000000044,,,normal,Normal approximation,normal,0.9129981538864139,beta_binom_zoom_curves_reject_n10000_rho0_1.png,,,
beta_binom_zoom,curves,reject,n1000_rho0,1000.0,0.0,0.95,0.050000000000000044,,,cp,Exact Clopper–Pearson,cp,0.01258981069489666,beta_binom_zoom_curves_reject_n1000_rho0.png,,,
beta_binom_zoom,curves,reject,n1000_rho0,1000.0,0.0,0.95,0.050000000000000044,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.006526765406130882,beta_binom_zoom_curves_reject_n1000_rho0.png,,,
beta_binom_zoom,curves,reject,n1000_rho0,1000.0,0.0,0.95,0.050000000000000044,,,normal,Normal approximation,normal,0.058633332385825264,beta_binom_zoom_curves_reject_n1000_rho0.png,,,
beta_binom_zoom,curves,reject,n1000_rho0_01,1000.0,0.01,0.95,0.050000000000000044,,,cp,Exact Clopper–Pearson,cp,0.4822012726376127,beta_binom_zoom_curves_reject_n1000_rho0_01.png,,,
beta_binom_zoom,curves,reject,n1000_rho0_01,1000.0,0.01,0.95,0.050000000000000044,,,jeffreys,Jeffreys equal-tailed,jeffreys,0.49862502243670037,beta_binom_zoom_curves_reject_n1000_rho0_01.png,,,
